id,user_id,location_id,duration,start_day,end_day,start_min,end_min,weekday
0,0,0,64.0,0,0,183,248,3
1,0,1,309.0,0,0,272,582,3
2,0,2,899.0,0,1,670,130,3
3,0,3,752.0,4,5,725,38,0
4,0,4,33.0,5,5,38,72,1
5,0,4,64.0,12,12,8,73,1
6,0,5,96.0,18,18,111,208,0
7,0,4,36.0,19,19,17,53,1
8,0,6,34.0,20,20,178,212,2
9,0,2,33.0,20,20,229,263,2
10,0,7,246.0,20,20,307,554,2
11,0,2,1296.0,20,21,554,410,2
12,0,6,167.0,21,21,666,833,3
13,0,7,703.0,21,22,851,114,3
14,0,2,53.0,22,22,237,290,4
15,0,7,133.0,22,22,290,423,4
16,0,8,186.0,22,22,427,614,4
17,0,2,45.0,22,22,631,677,4
18,0,2,297.0,22,22,678,976,4
19,0,7,514.0,22,23,989,63,4
20,0,1,142.0,23,23,68,210,5
21,0,1,636.0,25,25,317,954,0
22,0,2,1056.0,25,26,975,592,0
23,0,2,60.0,26,26,594,654,1
24,0,9,271.0,26,26,708,980,1
25,0,1,547.0,26,27,980,88,1
26,0,1,588.0,27,27,93,682,2
27,0,2,109.0,27,27,693,803,2
28,0,10,855.0,27,28,822,237,2
29,0,2,853.0,29,30,690,104,4
30,0,1,177.0,30,30,114,292,5
31,0,7,1179.0,39,40,691,431,0
32,0,11,211.0,40,40,440,651,1
33,0,3,319.0,40,40,651,971,1
34,0,7,671.0,40,41,971,203,1
35,0,2,702.0,41,41,209,912,2
36,0,7,479.0,41,41,953,1432,2
37,0,1,1244.0,48,49,482,286,2
38,0,2,448.0,49,49,286,734,3
39,0,1,961.0,49,50,743,265,3
40,0,2,212.0,50,50,400,612,4
41,0,7,162.0,158,158,64,227,0
42,0,12,74.0,158,158,243,318,0
43,0,13,199.0,158,158,380,580,0
44,0,13,337.0,158,158,618,956,0
45,0,14,512.0,158,159,966,39,0
46,0,15,32.0,159,159,73,105,1
47,0,13,124.0,159,159,107,231,1
48,0,13,267.0,159,159,269,537,1
49,0,16,1156.0,159,160,589,306,1
50,0,13,216.0,160,160,323,539,2
51,0,7,41.0,160,160,582,624,2
52,0,13,593.0,160,160,630,1223,2
53,0,7,584.0,160,161,1223,367,2
54,0,13,216.0,161,161,367,584,3
55,0,17,68.0,161,161,624,692,3
56,0,7,204.0,161,161,712,917,3
57,0,13,579.0,161,162,937,76,3
58,0,7,160.0,162,162,88,249,4
59,0,18,66.0,162,162,249,316,4
60,0,13,106.0,162,162,360,466,4
61,0,14,40.0,162,162,627,668,4
62,0,14,1077.0,162,163,770,407,4
63,0,19,33.0,163,163,467,501,5
64,0,20,52.0,163,163,629,682,5
65,0,21,40.0,163,163,682,723,5
66,0,14,918.0,163,164,843,322,5
67,0,22,59.0,164,164,504,564,6
68,0,23,80.0,164,164,605,686,6
69,0,14,764.0,164,165,832,157,6
70,0,24,44.0,165,165,228,273,0
71,0,7,60.0,165,165,357,418,0
72,0,13,59.0,165,165,424,483,0
73,0,25,98.0,165,165,489,588,0
74,0,25,45.0,165,165,594,639,0
75,0,2,463.0,168,169,1117,141,3
76,0,13,309.0,169,169,146,455,4
77,0,26,250.0,169,169,535,786,4
78,0,13,182.0,169,169,843,1025,4
79,0,2,735.0,169,170,1031,327,4
80,0,13,56.0,170,170,384,441,5
81,0,26,264.0,170,170,522,786,5
82,0,13,184.0,170,170,852,1036,5
83,0,2,447.0,170,171,1043,51,5
84,0,13,396.0,171,171,57,454,6
85,0,26,259.0,171,171,526,786,6
86,0,13,186.0,171,171,850,1036,6
87,0,2,706.0,171,172,1043,310,6
88,0,13,99.0,172,172,355,454,0
89,0,26,263.0,172,172,522,786,0
90,0,13,39.0,172,172,848,888,0
91,0,2,408.0,172,172,893,1302,0
92,0,26,351.0,172,173,1371,283,0
93,0,13,229.0,173,173,365,595,1
94,0,5,50.0,173,173,691,741,1
95,0,27,640.0,173,174,814,15,1
96,0,28,436.0,174,174,24,460,2
97,0,29,51.0,174,174,502,553,2
98,0,13,31.0,174,174,568,600,2
99,0,13,827.0,174,175,639,27,2
100,0,30,226.0,175,175,29,255,3
101,0,31,132.0,175,175,320,453,3
102,0,13,50.0,175,175,469,520,3
103,0,18,80.0,175,175,530,611,3
104,0,7,84.0,175,175,612,697,3
105,0,13,229.0,175,175,702,931,3
106,0,7,529.0,175,176,942,31,3
107,0,32,226.0,176,176,37,264,4
108,0,13,253.0,176,176,313,566,4
109,0,14,441.0,177,178,1053,54,5
110,0,5,47.0,178,178,74,122,6
111,0,33,39.0,178,178,246,285,6
112,0,34,319.0,178,178,294,613,6
113,0,29,50.0,178,178,659,710,6
114,0,13,347.0,178,178,730,1077,6
115,0,7,453.0,178,179,1088,102,6
116,0,13,134.0,179,179,109,243,0
117,0,13,304.0,179,179,276,581,0
118,0,13,306.0,179,179,625,931,0
119,0,14,495.0,179,179,938,1434,0
120,0,13,238.0,180,180,7,246,1
121,0,13,346.0,180,180,264,611,1
122,0,2,34.0,180,180,617,652,1
123,0,13,945.0,180,181,653,158,1
124,0,5,33.0,181,181,202,235,2
125,0,13,292.0,181,181,299,591,2
126,0,13,615.0,181,181,623,1238,2
127,0,7,765.0,181,182,1243,568,2
128,0,13,488.0,182,182,602,1091,3
129,0,14,385.0,182,183,1105,50,3
130,0,13,170.0,183,183,64,234,4
131,0,18,71.0,183,183,244,315,4
132,0,14,60.0,183,183,322,383,4
133,0,35,40.0,183,183,411,452,4
134,0,13,92.0,183,183,477,569,4
135,0,2,32.0,183,183,575,607,4
136,0,13,419.0,183,183,612,1031,4
137,0,7,459.0,183,184,1037,57,4
138,0,36,34.0,184,184,88,122,5
139,0,37,52.0,184,184,124,177,5
140,0,38,35.0,184,184,231,267,5
141,0,39,355.0,184,184,311,667,5
142,0,5,47.0,184,184,683,731,5
143,0,27,216.0,184,184,804,1021,5
144,0,40,36.0,184,184,1039,1075,5
145,0,27,530.0,184,185,1086,177,5
146,0,28,41.0,185,185,196,237,6
147,0,41,45.0,185,185,241,286,6
148,0,42,127.0,185,185,291,418,6
149,0,29,54.0,185,185,466,520,6
150,0,35,41.0,185,185,574,616,6
151,0,13,455.0,185,185,621,1077,6
152,0,14,417.0,185,186,1084,62,6
153,0,13,153.0,186,186,71,224,0
154,0,18,68.0,186,186,237,306,0
155,0,14,55.0,186,186,311,366,0
156,0,13,211.0,186,186,375,586,0
